,date,amount,
,"2018-01", 2150,
,"2018-02", 6020,
,"2018-03", 0,
,"2018-04", 3440,
,"2018-05", 0,
,"2018-06", 6020,
,"2018-07", 0,
,"2018-08", 6020,
,"2018-09", 0,
,"2018-10", 1390,
,"2018-11", 7140,
,"2018-12", 2780,
,"2019-01", 4346,
,"2019-02", 4346.03,
