,date,amount,
,"2018-11", 583704,
,"2018-12", 613120,
,"2019-01", 582608,
,"2019-02", 555000,
,"2019-03", 544640,
,"2019-04", 359640,
,"2019-05", 0,
,"2019-06", 0,
,"2019-07", 0,
,"2019-08", 0,
,"2019-09", 0,
,"2019-10", 0,
,"2019-11", 0,
,"2019-12", 12000,
