,date,amount,
,"2018-08", 9089.6,
,"2018-09", 27799.200000000004,
,"2018-10", 0,
,"2018-11", 67397.44,
,"2018-12", 71708,
,"2019-01", 955487.3999999999,
,"2019-02", 705540,
,"2019-03", 215992,
,"2019-04", 95410,
,"2019-05", 48636,
,"2019-06", 48062,
,"2019-07", 96180,
,"2019-08", 10649.6,
,"2019-09", -1
