,date,amount,
,"2018-01", 0,
,"2018-02", 474273.28,
,"2018-03", 0,
,"2018-04", 267889.56,
,"2018-05", 0,
,"2018-06", 796518,
,"2018-07", 571590,
,"2018-08", 1.4210854715202004e-14,
