,date,amount,
,"2018-03", 365160,
,"2018-04", 377808,
,"2018-05", 377808,
,"2018-06", 345168,
,"2018-07", 347048,
,"2018-08", 356496,
,"2018-09", 352671.2,
,"2018-10", 369396,
,"2018-11", 583704,
,"2018-12", 613120,
,"2019-01", 582608,
,"2019-02", 555000,
,"2019-03", 544640,
,"2019-04", 359640,
